# Protein-1,# Protein-2
CDK7,ID2
CDK7,ID3
CDK7,MAPK14
CDK7,TP53
CDKN1A,FZR1
CDKN1A,HDAC1
CDKN1A,HDAC2
CEBPA,CRKL
CEBPA,JAK2
CEBPA,KIT
CEBPA,KPNA2
CEBPA,SMAD2
CEBPA,SMAD3
CEBPA,STAT1
CEBPA,STAT3
CEBPA,STAT5B
CEBPA,TCF3
CHK,AXIN1
CHK,CCNA2
CHK,CCND1
CHK,CDK4
CHK,CDKN1A
CHK,CSNK1A1
CHK,CSNK1D
CHK,CSNK1E
CHK,PRKAR2A
CIAP1,AKT1
CIAP1,CASP3
CIAP1,CASP7
CIAP1,CASP8
CIAP1,CASP9
CIAP1,FADD
CIAP1,IKBKG
CIAP1,NFKB1
CIAP1,RIPK1
CIAP1,TRADD
CIAP1,TRAF1
CIAP1,TRAF2
CIAP1,TRAF3
CIAP2,CASP3
CIAP2,CASP7
CIAP2,CASP8
CIAP2,CASP9
CIAP2,FADD
CIAP2,IKBKG
CIAP2,NFKB1
CIAP2,RELA
CIAP2,RIPK1
CIAP2,TRADD
CIAP2,TRAF1
CIAP2,TRAF2
CIAP2,TRAF3
CIN85,AP2A1
CIN85,AP2B1
CIN85,BCAR1
CIN85,CBLB
CIN85,CDC42
CIN85,DAB2
CIN85,EGFR
CIN85,EPS15
CIN85,GRB2
CIN85,HGS
CIN85,KIT
CIN85,MAP3K4
CIN85,MET
CIN85,PIK3R1
CIN85,SH3GL2
CIN85,SPRY2
CIN85,SRC
CIN85,TRADD
CIR,HDAC1
CIR,HDAC2
CIR,HDAC6
CIR,NCOR1
CIR,TCF3
CIR,SNW1
CK2A1,CTNNB1
CK2A1,DVL1
CK2A1,DVL2
CK2A1,DVL3
CK2A1,FOS
CK2A1,HDAC1
CK2A1,HDAC2
CK2A1,MYC
CK2A1,PLD2
CK2A1,RBBP7
CK2A1,RELA
CK2A1,SIN3A
CK2A2,CDC37
CK2A2,CTNNB1
CK2A2,DVL1
CK2A2,DVL2
CK2A2,DVL3
CK2A2,FOS
CK2A2,HDAC1
CK2A2,MYC
CK2A2,PIN1
CK2A2,PTEN
CK2A2,RELA
CK2B,CSNK1A1
CK2B,CSNK1D
CK2B,CSNK1E
CK2B,FAF1
CK2B,GSK3B
CK2B,MBP
CK2B,MTIF2
CK2B,PRKAR2A
CLTC,EPS15
CLTC,HDAC1
CLTC,HDAC2
CLTC,HGS
CLTC,KRT18
CLTC,NUP153
CLTC,PAPOLA
CLTC,SMAD2
CLTC,SMAD3
CLTC,WASL
COPS3,COPS5
COPS3,EIF4E
COPS3,NRAS
COPS3,PSMD12
COPS3,PSMD4
COPS5,PSMD12
COPS5,SMAD2
COPS5,SMAD3
CREB,ATF2
CREB,BRCA1
CREB,CAMK2G
CREB,CREBBP
CREB,FOS
CREB,HIPK2
CREB,JUND
CREB,MITF
CREB,PRKACA
CREB,PRKAR2A
CREBBP,CITED1
CREBBP,CTBP1
CREBBP,CTNNB1
CREBBP,E2F5
CREBBP,ETS1
CREBBP,HDAC1
CREBBP,MAML1
CREBBP,MAML2
CREBBP,MYC
CREBBP,NCOA3
CREBBP,NFKB1
CREBBP,PML
CREBBP,RELA
CREBBP,SMAD2
CREBBP,SMAD4
CREBBP,STAT1
CREBBP,STAT2
CREBBP,STAT3
CREBBP,TP53
CREBBP,YY1
CRK,CSK
CRK,EGFR
CRK,ERBB2
CRK,FGR
CRK,FYN
CRK,GRB2
CRK,JAK1
CRK,JAK2
CRK,KIT
CRK,LYN
CRK,MET
CRK,PTK2
CRK,SRC
CRK,STAT1
CRK,STAT3
CRKL,CDC42
CRKL,CREBBP
CRKL,CSK
CRKL,CSNK1E
CRKL,DOK1
CRKL,EGFR
CRKL,EPOR
CRKL,FGR
CRKL,FYN
CRKL,GIT1
CRKL,GLG1
CRKL,GRB10
CRKL,GRB2
CRKL,JAK1
CRKL,JAK2
CRKL,KIT
CRKL,LYN
CRKL,MET
CRKL,NCK2
CRKL,PIK3R2
CRKL,PPP2CA
CRKL,PRKCA
CRKL,PRKCG
CRKL,PTEN
CRKL,PTK2
CRKL,PTPN12
CRKL,RAC1
CRKL,RAF1
CRKL,SMAD3
CRKL,SOCS5
CRKL,SRC
CRKL,STAT1
CRKL,STAT2
CRKL,STAT3
CRKL,STAT5B
CRKL,TRAF2
CRKL,VAV3
CRKL,WASL
CRM1,APC
CRM1,CCNB1
CRM1,CRK
CRM1,CTNNB1
CRM1,FOXO4
CRM1,GLI1
CRM1,HDAC1
CRM1,NFKB1
CRM1,NUP153
CRM1,NUP214
CRM1,RAN
CRM1,RELA
CRM1,STAT1
CRM1,TP53
CSK,ABL1
CSK,CREBBP
CSK,CTBP1
CSK,DAB2
CSK,DOK1
CSK,EGFR
CSK,EPOR
CSK,FGR
CSK,FYN
CSK,GRB10
CSK,GRB2
CSK,HD
CSK,IKBKG
CSK,ITGB4
CSK,JAK1
CSK,JAK2
CSK,KIT
CSK,KPNA2
CSK,LYN
CSK,MET
CSK,NCK2
CSK,PIK3R2
CSK,PLCG1
CSK,PLD2
CSK,PRKAR1A
CSK,PRKCA
CSK,PRKCG
CSK,PTEN
CSK,PTK2
CSK,RAF1
CSK,SHC1
CSK,SMAD2
CSK,SMAD3
CSK,SRC
CSK,STAT1
CSK,STAT2
CSK,STAT3
CSK,STAT5B
CSK,TCF3
CSNK1D,CSNK1A1
CSNK1D,DCP1A
CSNK1D,DVL2
CSNK1D,DVL3
CSNK1D,IKBKAP
CSNK1E,APC
CSNK1E,DCP1A
CSNK1E,EPS15
CSNK1E,FYN
CSNK1E,IKBKAP
CSNK1E,JUP
CSNK1E,STAT5B
CTBP1,DAXX
CTBP1,ETS1
CTBP1,HD
CTBP1,HDAC1
CTBP1,IKBKG
CTBP1,NCOA3
CTBP1,RELA
CTBP1,SMAD2
CTBP1,SPEN
CTBP1,STAT1
CTBP1,STAT2
CTBP1,TCF3
CTBP1,ZFHX1B
CTBP2,CDH1
CTBP2,HDAC1
CTBP2,HDAC2
CTBP2,LEF1
CTNNB1,APC
CTNNB1,FYN
CTNNB1,HDAC1
CTNNB1,HDAC2
CTNNB1,JAK2
CTNNB1,JUP
CTNNB1,KIT
CTNNB1,LEF1
CTNNB1,NOTCH2
CTNNB1,PSEN1
CTNNB1,SMAD2
CTNNB1,SMAD3
CTNNB1,SMURF2
CUL1,AXIN1
CUL1,BTRC
CUL1,CDKN1A
CUL1,COPS5
CUL1,CTNNB1
CUL1,FBXW7
CUL1,FZR1
CUL1,NFKB1
CUL1,PSMD7
CUL1,RBX1
CUL1,SKP1
CUL1,SKP2
CUL1,SMAD3
DAB2,FGR
DAB2,FYN
DAB2,LYN
DAB2,PIK3R2
DAB2,SMAD2
DAB2,SMAD3
DAB2,STAT1
DAB2,TGFB1
DAB2,WASL
DAP,FADD
DAP,PML
DAP,TNIP1
DAXX,FADD
DAXX,HDAC1
DAXX,KPNA2
DAXX,RIPK1
DAXX,SIN3A
DAXX,SMAD2
DAXX,SMAD3
DAXX,STAT1
DAXX,TCF3
DCP1A,HSPA8
DCP1A,NCK2
DDEF1,ARF4
DDEF1,CBLB
DDEF1,CRK
DDEF1,GRB2
DDEF1,IKBKG
DDEF1,PTK2
DDEF1,PXN
DDEF1,SRC
DDX3,CCNA2
DDX3,CCNE1
DDX3,G3BP2
DDX3,GSK3B
DDX3,TBK1
DNM,ARRB2
DNM,CAV1
DNM,EGFR
DNM,EPS15
DNM,GRB2
DNM,JAG1
DNM,PIAS1
DNM,PIK3R1
DNM,PLCG1
DNM,SH3GL2
DNM,SRC
DOK1,EGFR
DOK1,FGR
DOK1,FYN
DOK1,GRB10
DOK1,JAK2
DOK1,KIT
DOK1,LYN
DOK1,NCK2
DOK1,PIK3R2
DOK1,PKN2
DOK1,SRC
DOK1,STAT5B
DOK1,TRAF2
DOK1,WASL
DVL1,APC
DVL1,ARRB2
DVL1,AXIN1
DVL1,CSNK1E
DVL1,CTNNB1
DVL1,CTNND1
DVL1,DVL2
DVL1,DVL3
DVL1,FZD6
DVL1,FZD7
DVL1,GSK3B
DVL1,NOTCH2
DVL1,RAC1
DVL2,CSNK1A1
DVL2,DVL3
DVL2,JUP
DVL3,CSNK1A1
DVL3,JUP
DVL3,PTEN
DVL3,SMAD3
DYRK1A,HGS
DYRK1A,JUP
DYRK1A,SMAD2
DYRK1A,SMAD3
DYRK1A,TGFB1
E2F5,BRCA1
E2F5,CCNA2
E2F5,E2F4
E2F5,RELB
E2F5,SMARCA4
E2F5,STAT2
E2F5,TP53
E3B1,ABL1
E3B1,AKT1
E3B1,CDC42
E3B1,CRK
E3B1,EGFR
E3B1,EPS8
E3B1,FGR
E3B1,LYN
E3B1,MYC
E3B1,RAC1
E3B1,SOS2
E3B1,SRC
E3B1,WASL
EBP1,EGFR
EBP1,ERBB2
EBP1,HDAC2
EBP1,KPNA3
EBP1,PAK1
EBP1,PRKCA
EBP1,RPL30
EBP1,RPL4
EBP1,RPL8
EBP1,SIN3A
EF1A,UBE3A
EGFR,ABL1
EGFR,EPOR
EGFR,ERBB2
EGFR,FGR
EGFR,FYN
EGFR,GRB10
EGFR,GRB2
EGFR,HGS
EGFR,ITGB4
EGFR,JAK1
EGFR,JAK2
EGFR,JUP
EGFR,KIT
EGFR,LYN
EGFR,MET
EGFR,NCK2
EGFR,PIK3R2
EGFR,PLCG1
EGFR,PRKCG
EGFR,PRKCZ
EGFR,PTK2
EGFR,SHC1
EGFR,SRC
EGFR,STAT1
